"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"G723","068","新小22","新小岩駅前","139.887054","35.680878","2026-05-08 11:25:58","IN_TRANSIT_TO","今井児童交通公園前"
"G731","068","新小22","新小岩駅前","139.871307","35.695843","2026-05-08 11:25:58","IN_TRANSIT_TO","松江"
"B772","068","新小22","新小岩駅前","139.86145","35.714909","2026-05-08 11:25:58","IN_TRANSIT_TO","新小岩一丁目"
"C262","068","新小22","葛西駅前","139.866074","35.710171","2026-05-08 11:25:58","IN_TRANSIT_TO","江戸川高校前"
"F662","068","新小22","葛西駅前","139.878418","35.690601","2026-05-08 11:25:58","IN_TRANSIT_TO","一之江五丁目"
"D352","068","新小22","葛西駅前","139.885422","35.67786","2026-05-08 11:25:58","IN_TRANSIT_TO","下今井"
"E446","070","上23","上野松坂屋前","139.841797","35.706787","2026-05-08 11:25:58","IN_TRANSIT_TO","平井駅前"
"D325","070","上23","上野松坂屋前","139.803497","35.708439","2026-05-08 11:25:58","IN_TRANSIT_TO","本所吾妻橋"
"C252","070","上23","平井駅前","139.795349","35.711105","2026-05-08 11:25:58","IN_TRANSIT_TO","浅草雷門"
"E453","070","上23","平井駅前","139.835159","35.715069","2026-05-08 11:25:58","IN_TRANSIT_TO","平井七丁目第三アパート前"
"E457","073","平23","平井駅前","139.872711","35.663254","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西駅前"
"B767","073","平23","葛西駅前","139.849792","35.699436","2026-05-08 11:25:58","IN_TRANSIT_TO","小松川三丁目"
"G796","072","亀23","亀戸駅前","139.834183","35.665157","2026-05-08 11:25:58","IN_TRANSIT_TO","江東高齢者医療センター"
"C255","075","亀24","亀戸駅前","139.844833","35.683807","2026-05-08 11:25:58","IN_TRANSIT_TO","東砂二丁目"
"Z559","075","亀24","葛西橋","139.837296","35.690044","2026-05-08 11:25:58","IN_TRANSIT_TO","中の橋通り"
"L362","075","亀24","葛西橋","139.843201","35.675983","2026-05-08 11:25:58","IN_TRANSIT_TO","東砂五丁目"
"C267","076","葛西24","なぎさニュータウン","139.864441","35.675083","2026-05-08 11:25:58","IN_TRANSIT_TO","宇喜田小学校"
"M470","076","葛西24","なぎさニュータウン","139.872635","35.653858","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西南高校入口"
"F661","076","葛西24","船堀駅前","139.866028","35.672215","2026-05-08 11:25:58","IN_TRANSIT_TO","宇喜田第一住宅"
"M473","077","錦25出入","葛西駅前","139.867615","35.668373","2026-05-08 11:25:58","IN_TRANSIT_TO","江戸川車庫前"
"H980","078","錦25","錦糸町駅前","139.873138","35.666866","2026-05-08 11:25:58","IN_TRANSIT_TO","長島町交差点"
"F664","078","錦25","錦糸町駅前","139.867279","35.678616","2026-05-08 11:25:58","IN_TRANSIT_TO","陣屋橋"
"H975","078","錦25","錦糸町駅前","139.863785","35.684181","2026-05-08 11:25:58","IN_TRANSIT_TO","船堀駅前"
"C264","078","錦25","錦糸町駅前","139.844269","35.697449","2026-05-08 11:25:58","IN_TRANSIT_TO","浅間神社"
"D314","078","錦25","錦糸町駅前","139.824554","35.696419","2026-05-08 11:25:58","IN_TRANSIT_TO","亀戸駅通り"
"H978","078","錦25","葛西駅前","139.830978","35.697044","2026-05-08 11:25:58","IN_TRANSIT_TO","亀戸六丁目"
"G732","078","錦25","葛西駅前","139.849792","35.699436","2026-05-08 11:25:58","IN_TRANSIT_TO","小松川三丁目"
